sa_code,sa_name,subtype,area_km2,intersection_count,junction_density,street_density_km_km2,avg_street_length_m,dead_end_ratio,circuity_avg,amenity_count,amenity_density,walkability_index
c3849e9d-42bc-49ce-b3f2-b4554f3d8679,כפר חסידים,locality,0.9491,35.0,36.87802652575357,19.397972168927808,153.41769654221847,0.7784810126582279,1.070901556128868,13,13.69755270956561,39.72
42f6cb87-57a7-48f8-8962-aab2adc158ed,כפר הנוער הדתי,locality,0.0775,6.0,77.40903625320598,23.13209566297608,85.37982785114458,0.7857142857142857,1.1650975081911683,0,0.0,43.43
c091488d-d663-4c47-9c60-8deabdb45587,נופית,locality,0.55,46.0,83.64172300289263,27.612027941115365,130.9107093192634,0.5964912280701754,1.7625358550427082,6,10.90978995689904,43.06
e88fbdad-7d52-4b36-a3b5-add99897874d,חילף,locality,0.496,37.0,74.60014351776853,25.510447529361016,166.48171700154043,0.4714285714285714,1.1041189162407834,2,4.032440190149651,47.84
60f32762-176e-4dda-b53c-962000ac3616,بسمة طبعون,locality,3.9294,111.0,28.24855216338086,12.498038096389575,197.2283230965607,0.5450819672131147,1.3016263718365852,29,7.3802523670094144,27.41
d1b692a9-d843-4361-868f-29da2445115a,שער העמקים,locality,0.4341,33.0,76.01725068306754,39.94099157524584,133.3758719379228,0.8146067415730337,1.1964454372904203,17,39.16040186703479,62.92
5cd763f3-6bbe-48e9-a775-ae353168e700,אלונים,locality,0.3377,28.0,82.9148493940351,28.11945858444953,139.64447476195778,0.582089552238806,1.262400943672544,22,65.14738166674186,66.39
d63f3f5f-ac2c-482b-b130-54293d0811f8,שדה יעקב,locality,0.4208,32.0,76.04512971521613,19.333915893350774,135.59608417268348,0.37254901960784315,1.0989792689684015,6,14.258461821603024,51.14
ce2db19b-9bc0-4904-a808-3eb57afb6e6b,נווה עמיאל,locality,0.1679,8.0,47.63453495279129,23.429253663660873,87.44077496390916,0.8805970149253731,1.4048677800615093,1,5.9543168690989114,36.46
8ab621f4-53eb-46e0-a889-252d65eea4d2,בית זייד,locality,0.0428,3.0,70.03532260057376,32.789304566175375,127.68610576634451,0.7857142857142857,1.2067036616303337,0,0.0,45.91
19ccf35b-f0e7-4edd-bf3c-156385579bb4,כפר תקווה,locality,0.0991,9.0,90.86221451570064,33.323222706062396,97.07944183693213,0.7954545454545454,1.0979631664028555,5,50.47900806427813,71.7
933f8f92-53ea-40d1-aadd-1b9061927183,קריית טבעון,locality,9.2533,459.0,49.60371917246424,26.23122902850011,177.5614039247803,0.7032967032967034,1.2403316702052494,384,41.49853630114655,55.4
1591ba59-6225-468e-9fc2-c97b78165003,אורנים,locality,0.1302,5.0,38.40105335378249,25.758678974012838,197.28839158090454,0.7368421052631579,1.895805334847005,14,107.52294939059097,46.42
034c5764-1804-4a76-a18c-21b981c7a09a,عسفيا,locality,11.0661,207.0,18.705828171759702,13.170203421249376,228.07885788422215,0.734955185659411,1.2338601436416607,143,12.922383712858151,29.18
f8bcc8b4-4e3b-43ac-b9d5-72aee5b9567a,دالية الكرمل,locality,12.7262,410.0,32.216931196609465,12.613093190321736,145.659795897238,0.6801872074882995,1.1101337249337384,293,23.023319123430664,37.41
0082701d-c2c1-482d-b6dd-c0f36e2e5133,ניר עציון,locality,0.3154,29.0,91.93301056867693,28.867856337259393,101.18090076942262,0.7070707070707071,1.1525665855549208,1,3.170103812712998,51.61
